Row Labels,Sum of Maternal Disorders,Sum of Meningitis,Sum of Alzheimer's Disease and Other Dementias,Sum of Parkinson's Disease,Sum of Nutritional Deficiencies,Sum of Malaria,Sum of Drowning,Sum of Interpersonal Violence,Sum of HIV/AIDS,Sum of Drug Use Disorders,Sum of Tuberculosis,Sum of Cardiovascular Diseases,Sum of Lower Respiratory Infections,Sum of Neonatal Disorders,Sum of Alcohol Use Disorders,Sum of Self-harm,Sum of Exposure to Forces of Nature,Sum of Diarrheal Diseases,Sum of Environmental Heat and Cold Exposure,Sum of Neoplasms,Sum of Conflict and Terrorism,Sum of Diabetes Mellitus,Sum of Chronic Kidney Disease,Sum of Poisonings,Sum of Protein-Energy Malnutrition,Sum of Road Injuries,Sum of Chronic Respiratory Diseases,Sum of Digestive Diseases,Sum of Cirrhosis and Other Chronic Liver Diseases,"Sum of Fire, Heat, and Hot Substances",Sum of Acute Hepatitis
Seychelles,33,120,446,142,66,0,325,156,123,24,145,6339,1676,324,26,228,8,160,0,3820,0,502,948,21,61,397,847,1280,787,60,17
Sierra Leone,33292,65418,10415,2970,59264,394491,9389,2659,63856,171,83713,204497,261440,222639,989,9473,1564,164175,1236,75543,21270,22070,23124,4730,57962,33622,36038,56378,32012,6096,6856
Singapore,95,363,20565,3843,39,0,714,1346,1241,262,2585,166594,62407,1659,263,13921,0,729,60,142869,5,9045,12338,126,19,6793,21242,13231,6048,338,31
Slovakia,154,868,43798,9216,224,0,4982,4769,127,952,1831,818968,60630,6883,5610,24921,102,492,3807,355136,7,23085,20573,1045,157,21269,31495,83803,49822,2082,76
Slovenia,42,279,24111,4564,92,0,871,903,110,587,755,220690,18440,1178,4534,16660,50,138,699,158853,28,12043,5357,293,21,8427,19122,35478,20852,401,30
Solomon Islands,1761,670,431,417,993,4811,2886,1078,561,80,1322,48085,15041,4499,255,3308,145,8630,82,12015,4,7852,2807,389,984,3695,8138,4532,3028,502,388
Somalia,68767,104739,8593,2520,255787,120767,19779,54614,83076,374,468031,366002,546989,439571,2876,26119,3180,504287,5191,159580,51392,51124,36974,13080,250235,73067,84506,123721,78108,13471,26233
South Africa,56368,79896,141842,29281,94315,6150,59316,681957,4874296,7414,789786,2234693,983661,674828,17782,248248,877,600313,15128,1360234,3788,609364,278319,20736,91068,638445,556637,390351,186085,71250,4701
South Korea,2374,5844,271861,55134,9919,162,39111,29741,2780,4041,125935,2078568,215693,38693,34316,339017,2506,18152,9216,2196530,299,320632,141262,12520,5320,309564,381143,512816,355103,20072,2035
South Sudan,20434,70107,10881,2433,166849,166774,8589,18486,120952,222,142094,185687,302252,284275,1335,10941,273,224539,2227,100978,41463,27540,23219,5410,163526,29058,38756,68747,42206,6831,6078
Spain,651,7534,658652,132799,9970,0,17253,12428,60056,23618,18850,3726864,330411,25943,12056,111994,487,19990,2643,3106705,887,295332,322884,4128,5813,158947,893090,638695,281432,8187,475
Sri Lanka,5458,11783,75095,16844,7428,7106,32172,31380,1926,4091,41538,1149527,130288,76201,15616,168817,37228,47298,2512,399926,82347,232901,122796,2953,6971,94894,351548,168215,141622,11899,875
Sudan,89630,52004,62346,15624,73456,100763,62584,30941,91233,6526,57868,1887465,374139,934503,2487,49751,1059,561001,2039,359195,92787,52868,106168,25388,70645,212125,214960,171067,111989,46951,67188
Suriname,282,325,2077,439,523,877,787,1305,3319,73,347,30883,3817,5653,334,3553,0,1575,7,13646,1,4743,4575,72,493,2716,2577,5720,2868,331,41
Sweden,121,1157,147340,31548,2919,0,3473,3904,1379,7706,4000,1213946,96953,4618,12645,45243,60,11587,2048,710254,27,54982,38049,1180,2339,17048,107028,92419,28634,3192,97
Switzerland,138,1639,110105,21919,2181,0,1957,2354,2901,7601,1791,722512,59500,5219,7984,43897,350,4115,329,516815,24,45284,39494,314,1251,16295,80707,76721,30449,1354,182
Syria,5786,13964,31912,8546,5605,32,7005,9409,541,3186,3975,1056981,76767,130737,1464,9839,131,13311,926,198726,365293,41936,66362,3019,4666,62105,79697,64019,48393,6676,1233
Taiwan,856,4647,136808,36187,4225,0,26404,17345,3399,8816,43535,981658,224208,16447,7659,109715,3693,2137,570,1148629,36,266537,155474,6938,3969,160502,217564,309002,201363,7032,268
Tajikistan,2576,10431,15844,5497,3510,4932,22954,10944,2325,530,22215,535923,157704,90126,5101,9728,2072,67291,309,120108,24266,25178,6711,2965,560,17297,50477,59507,45011,10001,3740
Tanzania,133746,146489,66904,14391,320554,800490,35519,74764,2465047,2855,638516,1155416,1209289,1122254,7020,70982,807,743870,6332,629238,700,168174,124990,27430,309857,140881,162969,350358,215936,30282,19635
Thailand,18063,37372,335804,69870,32140,8592,169256,216115,618532,12339,310507,2572195,493505,153777,21987,248729,11807,167298,1244,2369108,7044,386466,509707,7720,28794,717057,666147,707685,431669,19719,8236
Timor,3119,1648,1615,461,6226,4928,2363,835,6703,34,9936,39655,25018,21236,173,1411,5,11164,60,14688,5885,3289,4275,143,5925,3528,10131,9087,4308,413,338
Togo,18494,26855,7137,1965,15414,160123,5130,11226,179708,281,62009,163134,132028,156118,1034,11797,72,224470,964,69820,638,18997,20165,2795,14742,35797,28843,50797,29818,3893,3519
Tokelau,0,0,0,0,0,0,0,0,0,0,0,140,24,3,0,0,0,0,0,49,0,30,6,0,0,0,34,13,0,0,0
Tonga,79,214,402,125,120,0,170,87,39,0,182,4613,1024,595,30,141,11,111,0,3292,0,1952,773,35,117,296,1251,1096,560,90,175
Trinidad and Tobago,338,660,6467,1471,954,0,1623,8197,8442,168,738,103599,8278,6815,670,5119,23,963,30,45289,157,40399,11237,106,887,6227,6547,11578,4717,647,87
Tunisia,3357,3880,46040,9358,1057,0,6117,2721,2289,2988,4740,769978,53421,79918,843,11250,95,4256,241,205035,489,32349,53081,3064,913,76230,61408,49677,30958,7278,2836
Turkey,21647,32710,374548,71753,24559,179,29356,61032,2970,5245,65510,4167835,476082,629097,5472,81642,20972,52514,1739,2154475,37414,484386,410468,15857,19318,217882,733091,332311,179133,14509,25245
Turkmenistan,1915,3466,11089,2110,658,12,10055,6628,3950,1062,18010,438094,82139,44678,5519,12905,17,16771,2709,80874,1200,14135,15320,1539,298,12756,16561,57210,48047,6842,2759
Tuvalu,5,5,35,30,14,0,30,30,7,0,46,1120,179,94,0,60,0,50,0,345,0,264,108,0,14,80,248,120,60,18,0
Uganda,56671,179942,34155,8228,191830,1265629,22734,50983,2102167,785,491292,632868,564036,949090,5467,51079,822,495526,4228,421210,23456,106337,72223,15581,187486,135004,142817,212761,122997,17217,10912
Ukraine,3784,17655,369800,93588,7895,0,169303,190094,177144,45328,146512,13053052,236344,75146,303062,444127,316,3615,120391,3190335,9578,95725,57772,81011,3304,285347,670421,786889,509723,95015,3175
United Arab Emirates,283,1087,1653,1182,170,0,3353,2157,1866,10129,2125,113217,9876,5347,1035,10612,0,1021,203,63641,2,16413,18201,688,95,64581,24193,9201,6088,3247,963
United Kingdom,1761,11589,760163,178912,5004,0,10099,14156,11315,60456,15093,6603062,1241986,61675,38289,171611,408,35655,5628,5182471,1646,194851,169923,5965,2994,114375,1293421,829566,243170,15676,680
United States,25206,40032,3302609,661288,133044,0,114752,596818,528417,800798,38127,26438346,2248625,429516,309757,1168886,10712,199602,40402,18905315,12506,2030631,2018497,40259,121030,1359744,4949052,3026943,1514325,126712,5851
United States Virgin Islands,21,13,589,260,97,0,181,973,333,69,30,10542,552,314,303,248,19,30,25,6766,0,1674,1027,12,93,523,642,1331,794,51,0
Uruguay,433,1399,33199,8336,3202,0,3362,5354,4365,276,2664,316537,39468,10213,2579,17501,23,3970,191,272842,3,22890,21596,570,2547,17244,55096,43043,15006,1995,68
Uzbekistan,6896,16674,41265,13633,3497,48,66631,28015,12309,3456,95035,2749832,475207,232126,14820,83791,117,35431,4880,505008,855,137009,105239,10519,755,120419,146544,341410,288771,29237,12185
Vanuatu,232,191,331,227,361,1247,752,75,248,28,1071,16362,2803,2385,73,1171,177,1928,30,4143,0,2032,1164,57,356,1485,3751,2047,1100,93,103
Venezuela,12739,11615,108735,18573,22554,3726,20273,266071,46090,1664,23568,1158991,124366,154484,5824,57960,31025,61658,268,641727,1047,175790,161667,2607,21347,175036,122198,168365,91720,4949,1109
Vietnam,13167,38559,369363,83322,48613,17311,214356,47981,148838,19959,729683,5323920,639832,449614,20059,197601,12526,109700,2967,2156232,98,544222,396874,34681,7366,594980,911787,735817,527192,17380,30650
Yemen,53611,21095,31045,7188,68939,143463,27994,17918,6276,3718,32460,1110837,259044,729558,1590,29882,1131,419051,1049,234015,95610,30812,52119,12561,66731,278327,126525,111536,64136,23871,26532
Zambia,28395,98886,13473,4054,95913,205529,12809,30065,1175563,933,275391,360770,345855,300479,2677,29216,73,348764,2451,198742,159,54098,41751,9056,92915,56976,59173,147640,100581,9476,8846
Zimbabwe,29802,41238,20017,5764,66723,118728,18169,32741,1836042,2271,273844,408352,326145,251875,1246,51763,1247,140850,978,272787,625,71175,49952,9113,65942,67207,71774,108691,55027,14718,3778
Grand Total,7727046,10524572,29768839,7179795,13792032,25342676,10301999,12752839,36364419,2656121,45850603,447741982,83770038,76860729,4819018,23713931,1490132,66235508,1788851,229758538,3294053,31448872,28911692,2601082,12031885,36296469,104605334,65638635,37479321,3602914,3784791
